scene,source_id,target_id,method,initial_rmse_m,rre_deg,rte_m,rmse_m,mean_nn_distance_m,mean_euclidean_distance_m,mean_abs_point_to_plane_error_m,iterations,runtime_s
7-scenes-redkitchen,14,0,point_to_plane,0.3359796497810825,4.276881700750748,0.06820103327873857,0.0508059277164414,0.06581386500192343,0.06581386500192343,0.019645530827941488,18,0.13798959998530336
7-scenes-redkitchen,14,0,point_to_point,0.3359796497810825,8.531544864436995,0.12158351158637488,0.1159820002971367,0.0691345102852315,0.0691188404011727,nan,40,0.19848430002457462
7-scenes-redkitchen,15,0,point_to_plane,0.1753240349954625,2.0244651150095674,0.10583958105911222,0.07696553806515224,0.1311335340954308,0.1311335340954308,0.01826511222340499,12,0.10323069998412393
7-scenes-redkitchen,15,0,point_to_point,0.1753240349954625,12.571301260340315,0.46668204512765477,0.46475860553746084,0.11162824805180044,0.1116017900075112,nan,39,0.19960800002445467
7-scenes-redkitchen,19,0,point_to_plane,0.192396898561229,2.2597013875988696,0.09813304979809621,0.05719018971871076,0.3986031750983169,0.3986031750983169,0.0219130764932286,15,0.15394669998204336
7-scenes-redkitchen,19,0,point_to_point,0.192396898561229,20.185518577031978,0.6243635689798562,1.160402665114379,0.1784127183065753,0.17836096911630805,nan,29,0.2403675999958068
7-scenes-redkitchen,26,0,point_to_plane,0.11586114839323527,2.3766862661275434,0.0705696655749004,0.037467344666434206,0.18576984235727106,0.18576984235727106,0.0277800620284537,13,0.1511023000057321
7-scenes-redkitchen,26,0,point_to_point,0.11586114839323527,8.31692821646566,0.5582414616882448,0.41148875680414415,0.16489382927604798,0.1648615345262941,nan,42,0.3858192999905441
7-scenes-redkitchen,27,0,point_to_plane,0.1916169971164286,3.931128213861749,0.07434823418849722,0.08198523989771385,0.16143005000736968,0.16143005000736968,0.031796845527185744,21,0.24546250002458692
7-scenes-redkitchen,27,0,point_to_point,0.1916169971164286,13.7441232134006,0.4442668864787642,0.357299127758756,0.16707653028126895,0.16702601636840864,nan,34,0.34808860000339337
7-scenes-redkitchen,28,0,point_to_plane,0.2221517343668052,5.076936000499352,0.10996259602034368,0.08715089575023334,0.18019491307367283,0.18019491307367283,0.030397048386839997,18,0.16982509999070317
7-scenes-redkitchen,28,0,point_to_point,0.2221517343668052,12.15380778183593,0.36250268782078177,0.36425219565905115,0.17755859941517022,0.1775152317146996,nan,19,0.16392810002435
7-scenes-redkitchen,29,0,point_to_plane,0.15536591639862385,5.8292474551133635,0.054774332096939056,0.09557841198978496,0.15948866590126987,0.15948866590126987,0.0316597588017337,23,0.17952320000040345
7-scenes-redkitchen,29,0,point_to_point,0.15536591639862385,7.616241974966452,0.19347883411506478,0.33092344217082953,0.15637679524504577,0.1563355814052324,nan,50,0.3307368999812752
7-scenes-redkitchen,31,0,point_to_plane,0.05376403120317267,2.803688242502982,0.04782891950492262,0.05426081970546277,0.27123030544644355,0.27123030544644355,0.021254393383790503,18,0.13229690000298433
