scene,source_id,target_id,method,initial_rmse_m,rre_deg,rte_m,rmse_m,mean_nn_distance_m,mean_euclidean_distance_m,mean_abs_point_to_plane_error_m,iterations,runtime_s
7-scenes-redkitchen,1,0,point_to_plane,0.2552556077280903,0.3534441248900158,0.007681798977684443,0.009519239453128174,0.0644497381949143,0.0644497381949143,0.013685149817232733,9,0.045197100000223145
7-scenes-redkitchen,1,0,point_to_point,0.2552556077280903,2.2160598087494883,0.08146708870081258,0.08299872167826125,0.0727854198815877,0.07278453529661598,nan,30,0.09642049999092706
sun3d-home_at-home_at_scan1_2013_jan_1,1,0,point_to_plane,0.25895292985267127,1.6806735006635924,0.07039980576064336,0.036777421361175955,0.14981483458347386,0.14981483458347386,0.021345218979520634,11,0.07057260000146925
sun3d-home_at-home_at_scan1_2013_jan_1,1,0,point_to_point,0.25895292985267127,6.166421783169868,0.30593113683137546,0.3360517145372561,0.14608448780532765,0.146088587069036,nan,23,0.08417899999767542
sun3d-home_md-home_md_scan9_2012_sep_30,2,1,point_to_plane,0.3025107419934558,1.1712850830294637,0.11259720007062979,0.0807319010843434,0.19315307199143272,0.19315307199143272,0.0218593603262849,17,0.09857420000480488
sun3d-home_md-home_md_scan9_2012_sep_30,2,1,point_to_point,0.3025107419934558,12.006300563062558,0.6010617845942349,0.32829946131213633,0.18226840110245052,0.18227549334796217,nan,28,0.08757090001017787
sun3d-hotel_uc-scan3,1,0,point_to_plane,0.3390055193026478,1.0739401699042674,0.026529236600899852,0.02771311508737285,0.07459524173436298,0.07459524173436298,0.015527387116628273,15,0.10051469999598339
sun3d-hotel_uc-scan3,1,0,point_to_point,0.3390055193026478,2.900205149565462,0.1469380686897102,0.15624433297712587,0.08749851295479047,0.08752157267520559,nan,30,0.10740519998944364
sun3d-hotel_umd-maryland_hotel1,1,0,point_to_plane,0.102185120238789,1.9419871738252064,0.08481836589136273,0.051779704387041735,0.3499686354916954,0.3499686354916954,0.02145515666810655,30,0.13216480001574382
sun3d-hotel_umd-maryland_hotel1,1,0,point_to_point,0.102185120238789,41.150642050649395,0.7091483351033672,1.1009968598056536,0.1911923334168185,0.19107855967113163,nan,30,0.10443320000194944
sun3d-hotel_umd-maryland_hotel3,1,0,point_to_plane,0.1686515856038563,1.665010951922552,0.047973269103872056,0.03374185918361856,0.19291043860041557,0.19291043860041557,0.016199452720417496,8,0.05217169999377802
sun3d-hotel_umd-maryland_hotel3,1,0,point_to_point,0.1686515856038563,10.598670770856469,0.7857808532781615,0.8180537485456186,0.12831090842359957,0.12873551208182923,nan,30,0.12271860000328161
sun3d-mit_76_studyroom-76-1studyroom2,1,0,point_to_plane,0.20661118024236974,1.11585388940035,0.061857529321306115,0.025924660288693707,0.04295248062483887,0.04295248062483887,0.014749560418804144,30,0.08980349998455495
sun3d-mit_76_studyroom-76-1studyroom2,1,0,point_to_point,0.20661118024236974,1.5678247066964026,0.02406031980123575,0.055074681018771526,0.04362479286786035,0.04361765262138897,nan,24,0.039438000007066876
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,1,0,point_to_plane,0.21448614007308406,0.9697219626273226,0.040470363660703654,0.01756434610776416,0.14134322334210345,0.14134322334210345,0.01387492491842556,9,0.025320099986856803
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,1,0,point_to_point,0.21448614007308406,3.198472222013947,0.2904125400777554,0.3308432129532947,0.0953683301943283,0.09536898758834284,nan,22,0.05945070000598207
